Long;Lat;Alt
48.78816;2.04723;164.6
48.78868;2.04825;165.8
48.78869;2.04826;165.8
48.78902;2.04891;166.6
48.78914;2.0492;166.2
48.78918;2.04941;166
48.78916;2.04946;166
48.78916;2.04956;166
48.78914;2.04966;166.1
48.78911;2.04972;166.2
48.78906;2.04979;166.5
48.78895;2.0499;166.9
48.7889;2.04994;167
48.78878;2.04998;167.4
48.78872;2.04999;167.6
48.78862;2.04993;168
48.78857;2.04988;168
48.78853;2.04981;168
48.7885;2.04973;168
48.78848;2.04964;168.2
48.78848;2.04955;168.3
48.78849;2.04945;168.6
48.78851;2.04936;168.6
48.78854;2.04927;168.7
48.78862;2.04911;168.8
48.78867;2.04903;168.3
48.78878;2.04877;167.2
48.78888;2.04864;167
48.78895;2.04857;166.9
48.78896;2.04855;166.8
48.78928;2.04818;167.2
48.78952;2.04794;168.5
48.78956;2.04789;168.8
48.78971;2.04773;170.1
48.78978;2.04764;170.6
48.78985;2.04757;171.1
48.79032;2.04701;171.2
48.79058;2.04664;169.9
48.79065;2.04651;169.7
48.79082;2.04615;169
48.79089;2.04596;168.8
48.79098;2.04565;168.5
48.79109;2.0452;168.1
48.79159;2.04281;167.2
48.79159;2.04278;167.3
48.79187;2.04146;169.9
48.79194;2.04132;170.2
48.79206;2.04101;170.2
48.79211;2.04091;169.7
48.79216;2.04083;169.2
48.79224;2.04073;168.6
48.79233;2.04065;168
48.79242;2.04059;167.4
48.79249;2.04056;167.1
48.79267;2.04054;167
48.79279;2.04057;167.1
48.79287;2.0406;167.5
48.79308;2.04074;168.7
48.79327;2.04088;169
48.7936;2.0411;167.1
48.79367;2.04117;166.6
48.79374;2.04123;166.3
48.79381;2.04128;166
48.79389;2.04136;165.9
48.794;2.0415;166.2
48.79407;2.04162;166.5
48.7942;2.0419;168.1
48.79422;2.04196;168.4
48.79424;2.04205;168.5
48.79431;2.04229;168.9
48.79448;2.04298;168.5
48.7945;2.04304;168.4
48.79454;2.04323;168.5
48.7946;2.04342;168.2
48.79465;2.04349;168.2
48.79469;2.04363;167.8
48.79484;2.04399;167.9
48.79493;2.04416;168.3
48.79507;2.04438;168.8
48.79513;2.04446;168.8
48.79519;2.04452;168.8
48.79522;2.04454;168.9
48.79528;2.04461;168.8
48.79552;2.0448;167.5
48.79571;2.04492;166.6
48.79581;2.04497;166.2
48.79593;2.04501;166
48.79626;2.04505;165.5
48.7964;2.04504;165
48.79664;2.045;164.1
48.79708;2.04486;163.8
48.79735;2.04476;163.9
48.79743;2.04474;163.9
48.79767;2.04466;164
48.79782;2.04462;164
48.79805;2.0446;164
48.79812;2.0446;164.4
48.79826;2.04463;165.2
48.79835;2.04467;165.9
48.79845;2.0447;166.3
48.79855;2.04475;166.9
48.79861;2.04479;167.2
48.79868;2.04482;167.3
48.79873;2.04486;167.3
48.7988;2.0449;167.2
48.79945;2.04535;165.3
48.8002;2.04593;165.3
48.80145;2.047;165
48.80154;2.04709;165
48.80206;2.04756;165.9
48.80237;2.04779;164.5
48.80682;2.0523;133.7
48.80685;2.05234;133.6
48.80853;2.05405;128.4
48.80856;2.05407;128.2
48.81004;2.05557;125
48.81005;2.05559;124.9
48.8114;2.057;122.7
48.81231;2.05804;119.1
48.81237;2.0581;119
48.81388;2.05995;116
48.81869;2.06641;107.7
48.8188;2.06654;107.3
48.81906;2.0669;107.9
48.81907;2.06692;108
48.82191;2.07078;108.1
48.82257;2.07164;101.4
48.82263;2.07173;101.1
48.82271;2.07182;101.1
48.82286;2.07205;102
48.82373;2.0732;108.5
48.82398;2.07356;111.1
48.82528;2.07527;112
48.83089;2.08233;121.5
48.83134;2.08294;121.7
48.83266;2.08459;125.6
48.83279;2.08477;125.7
48.83293;2.08493;125.9
48.83636;2.08925;135.9
48.83637;2.08927;135.9
48.8365;2.08942;136.4
48.83651;2.08944;136.4
48.83728;2.09038;136.7
48.83728;2.09039;136.7
48.83798;2.09127;140.8
48.83849;2.09197;141.7
48.83902;2.0929;145.7
48.83986;2.09473;151.5
48.83994;2.09479;152.6
48.83997;2.09482;153
48.84012;2.09505;154.9
48.84014;2.09509;155.2
48.84029;2.09527;157
48.84054;2.09551;157.8
48.84076;2.09566;158.7
48.84085;2.09571;159.3
48.84105;2.09579;162
48.84131;2.09584;165.2
48.84143;2.09585;166.6
48.84153;2.09585;167.6
48.84176;2.09582;169.6
48.84199;2.09576;171.3
48.84206;2.09573;171.8
48.84213;2.09569;172.3
48.84231;2.09557;173
48.84235;2.09555;173
48.84257;2.09535;172.7
48.84264;2.09527;172.5
48.84269;2.0952;172.6
48.84276;2.09512;172.6
48.84295;2.09484;174.4
48.843;2.09475;174.9
48.84311;2.09452;176.6
48.84312;2.09451;176.6
48.84336;2.09384;176.9
48.8437;2.09245;177.4
48.84387;2.09137;178
48.84389;2.0913;178
48.84397;2.09091;178
48.84413;2.09036;177.9
48.84425;2.09001;178
48.84434;2.08979;178
48.84439;2.08964;178
48.84444;2.08953;178
48.84454;2.08923;178.3
48.84483;2.0882;179.1
48.8449;2.08776;178.6
48.84506;2.0872;176.9
48.8452;2.08662;176
48.8452;2.0866;176
48.84816;2.07493;181.4
48.84842;2.07403;181.7
48.84898;2.07224;181.6
48.84956;2.0706;180.7
48.85043;2.06845;181
48.85152;2.06611;178.5
48.85227;2.06459;175.5
48.8523;2.06451;175.2
48.85531;2.05829;176
48.85532;2.05829;176
48.86274;2.04294;169.8
48.8628;2.04283;169.6
48.86726;2.03363;177.1
48.86777;2.03271;178
48.86804;2.03227;178
48.86846;2.03164;178
48.8685;2.03157;178
48.87497;2.02291;180
48.8763;2.0213;180
48.87754;2.0199;180
48.87861;2.01876;180
48.87966;2.01769;178.2
48.88053;2.01687;178
48.88203;2.01555;175.7
48.88341;2.01443;173
48.88363;2.01427;172.9
48.88402;2.01396;172.3
48.88519;2.01312;168.4
48.88632;2.01238;162.4
48.88874;2.01087;162.5
48.88896;2.01075;161.6
48.89077;2.00965;155.5
48.8909;2.00958;155.1
48.89106;2.00948;154.3
48.89106;2.00947;154.4
48.89292;2.00846;148
48.89293;2.00846;148
48.89361;2.00811;143.2
48.89395;2.00795;138.4
48.89395;2.00794;138.4
48.89452;2.00767;140.4
48.89453;2.00766;140.6
48.89454;2.00766;140.7
48.89782;2.00607;165
48.89847;2.00579;166
48.89905;2.00559;166
48.89975;2.0054;167
48.89976;2.0054;167
48.90012;2.00533;166.6
48.90073;2.00525;165.4
48.90122;2.00522;164.7
48.90194;2.00521;162
48.91264;2.00554;105
48.91269;2.00555;104.6
48.9128;2.00555;103.8
48.91294;2.00558;102.8
48.91304;2.00561;102.1
48.91397;2.00566;96.7
48.91448;2.00573;94.8
48.91484;2.00583;93.1
48.91554;2.00597;90.1
48.91579;2.00601;89.2
48.91656;2.00617;83.1
48.91668;2.00617;81.9
48.91736;2.00628;77
48.91745;2.0063;76.4
48.9178;2.00642;74.1
48.91797;2.00652;74.5
48.91814;2.00665;74.9
48.91822;2.00672;75.1
48.91837;2.00692;75.7
48.9184;2.00695;75.5
48.91857;2.00721;74.2
48.91864;2.00735;73.3
48.91874;2.00759;72.1
48.91884;2.00792;71.3
48.91886;2.00806;71.1
48.91887;2.0082;71.1
48.91887;2.00834;71
48.91886;2.00847;70.7
48.91882;2.0086;70.5
48.91876;2.00871;70.9
48.91871;2.00878;71.3
48.91865;2.00884;71.7
48.91856;2.00888;72.2
48.91849;2.00889;72.4
48.91841;2.00889;72.7
48.91835;2.00886;72.9
48.91827;2.0088;73.2
48.91821;2.00871;73.4
48.91817;2.00863;73.6
48.91814;2.00853;73.8
48.91811;2.00837;74
48.91811;2.00817;74.5
48.91816;2.0079;74.6
48.91817;2.0078;74.6
48.9182;2.00766;74.7
48.9182;2.00748;75
48.91828;2.00715;75.2
48.91835;2.00698;75.8
48.91836;2.00693;75.8
48.91851;2.00659;74.3
48.91867;2.00631;73.6
48.91878;2.00616;73.6
48.91892;2.00599;74.4
48.91913;2.00578;75.2
48.91932;2.00563;73.9
48.91945;2.00554;73
48.92031;2.00503;71.9
48.92052;2.00488;72.4
48.92072;2.00471;73
48.921;2.00438;73
48.92111;2.00422;73
48.92127;2.00394;74.4
48.92133;2.00382;74.8
48.92143;2.00358;75
48.92144;2.00358;75
48.92192;2.00243;75
48.92223;2.00161;73.4
48.92232;2.00131;75.2
48.92239;2.00114;76.2
48.92264;2.00043;77.4
48.92266;2.00035;77.6
48.92289;1.99966;78.6
48.92361;1.9971;76.6
48.92366;1.99688;76
48.92417;1.99508;80.7
48.92418;1.99506;80.7
48.92445;1.99415;81
48.92491;1.99272;80.3
48.92521;1.99194;80
48.9256;1.99076;80
48.92661;1.9875;84.2
48.92662;1.98748;84.2
48.92678;1.98701;84.9
48.92681;1.98689;85.1
48.92683;1.98686;85.1
48.92702;1.98615;86.6
48.92702;1.98614;86.7
48.9272;1.98556;87.1
48.92724;1.9854;87
48.92792;1.9832;92
48.92824;1.98226;93.9
48.9285;1.98142;94.9
48.92857;1.98116;95
48.93052;1.9748;96.2
48.93088;1.97377;96.7
48.93098;1.97345;96.3
48.93113;1.97316;96.5
48.93121;1.97308;96.8
48.93131;1.97304;97.4
48.93141;1.97304;98
48.93149;1.97309;98.4
48.93158;1.97316;98.7
48.9317;1.97323;99.1
48.932;1.97346;100.7
48.93202;1.97347;100.8
48.93221;1.97361;102
48.93243;1.97373;103.2
48.93256;1.97385;104.1
48.93269;1.97392;104.8
48.93276;1.97397;105.2
48.9328;1.97399;105.5
48.9329;1.97406;106.5
48.93296;1.97409;107
48.93357;1.97451;111.9
48.93366;1.97458;112.8
48.93402;1.97482;116.1
48.93407;1.97486;116.6
48.93436;1.97503;118.8
48.93464;1.97517;121
48.93488;1.97526;122.5
48.93575;1.97551;127.4
48.93581;1.97556;127.9
48.93645;1.97575;128.5
48.93696;1.97593;127.9
48.93704;1.97595;127.7
48.93756;1.97618;125.9
48.93835;1.97662;123.2
48.93843;1.97663;123.1
48.93969;1.97741;114.8
48.93972;1.97746;114.3
48.94043;1.97782;115.4
48.94063;1.97789;115.9
48.94063;1.9779;115.8
48.94064;1.9779;115.9
48.94064;1.97792;115.8
48.94065;1.97792;115.8
48.94065;1.97793;115.8
48.94066;1.97793;115.8
48.94066;1.97794;115.8
48.94069;1.97794;115.9
48.94069;1.97793;115.9
48.9407;1.97793;116
48.9407;1.97792;116
48.94071;1.97792;116
48.94121;1.97808;117.7
48.94124;1.97808;117.9
48.94135;1.9781;118.7
48.9415;1.97814;120.1
48.94167;1.97817;121.6
48.94181;1.97817;122.8
48.94246;1.97821;127.7
48.94249;1.9782;127.9
48.94311;1.97816;127
48.94362;1.97817;127
48.94398;1.97815;125.3
48.94404;1.97814;124.9
48.94453;1.97816;121.7
48.94456;1.97817;121.6
48.94485;1.97822;120.7
48.94489;1.97824;120.6
48.94511;1.97832;119.7
48.94554;1.97852;116.7
48.94559;1.97853;116.5
48.94575;1.97861;115.3
48.94586;1.97868;114.7
48.94609;1.9788;113.4
48.9461;1.9788;113.4
48.94661;1.97907;111
48.94678;1.97914;111.4
48.94694;1.97922;111.8
48.94711;1.97929;112.2
48.94739;1.97936;113.1
48.94783;1.97943;114.3
48.94827;1.97942;115.2
48.94837;1.97941;115.2
48.94841;1.97941;115.2
48.94969;1.97919;116.8
48.94984;1.97915;117.1
48.9502;1.97908;116.7
48.95022;1.97908;116.6
48.95051;1.97902;115.3
48.95148;1.97888;113.7
48.95162;1.97888;113.2
48.95187;1.9789;111.5
48.95213;1.97896;109.2
48.95216;1.97898;108.8
48.95239;1.97908;106.8
48.95263;1.97922;104.8
48.95403;1.98015;94.4
48.95427;1.98029;92.2
48.95452;1.98041;90
48.95477;1.98049;87.9
48.95495;1.98052;86.5
48.95502;1.98054;86
48.95524;1.98054;85.1
48.95526;1.98055;85.1
48.95542;1.98053;84
48.95597;1.9804;81
48.9567;1.98016;77.8
48.95694;1.9801;76.7
48.95717;1.98006;76
48.95741;1.98004;75.2
48.95781;1.98004;73.9
48.95797;1.98003;73.3
48.95841;1.98003;71.7
48.95856;1.98006;71.2
48.95863;1.98011;71
48.95864;1.98014;70.9
48.95866;1.98018;70.9
48.95867;1.98019;70.9
48.95868;1.98021;70.8
48.95872;1.98025;70.6
48.95874;1.98026;70.6
48.95875;1.98027;70.5
48.95877;1.98028;70.4
48.95879;1.98028;70.4
48.95881;1.98029;70.3
48.95883;1.98029;70.2
48.95884;1.98028;70.2
48.95886;1.98028;70.1
48.95896;1.98043;69.7
48.9591;1.98067;69.1
48.95926;1.98104;67.9
48.96195;1.98669;54
48.96216;1.98716;53.2
48.96234;1.98752;52.6
48.96271;1.98813;50
48.96299;1.98852;48.5
48.96328;1.98885;47.3
48.96359;1.98916;46.1
48.96392;1.98945;41.9
48.96485;1.9902;35.9
48.96532;1.99061;32.8
48.96561;1.99093;30.7
48.96561;1.99094;30.6
48.96587;1.99132;29.2
48.9661;1.99173;27.8
48.96701;1.99365;24.7
48.96702;1.99366;24.6
48.96731;1.99428;26
48.96735;1.99435;26.6
48.96769;1.9951;31
48.96787;1.9956;30.2
48.96802;1.99619;25.6
48.96804;1.99636;24.3
48.96808;1.99658;22.7
48.9681;1.99676;21.8
48.96812;1.99745;21.2
48.96809;1.99806;21
48.968;1.99915;18
48.96799;1.99919;18
48.96784;2.00109;21
48.96783;2.00113;21
48.96745;2.00595;28.8
48.96743;2.00665;29
48.96746;2.00732;30.2
48.9676;2.00835;32.1
48.96762;2.00841;32.3
48.96766;2.00863;33
48.96773;2.00893;33
48.968;2.00981;29.1
48.96832;2.01067;33.3
48.96836;2.01076;33.7
48.96851;2.01118;35.1
48.96878;2.01186;32.3
48.9689;2.01222;32
48.96897;2.01252;32.3
48.96895;2.01256;32.2
